canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
VD,Suscévaz,5930,Chemin du Refuge 6,1437,169.07,17100.00,1709.00,12312.80,19.638,5580.99,1096.11,19.640,4484.88
VD,Cronay,5910,La Baumaz 3,1406,498.12,17900.00,1841.00,12847.20,20.35,5602.78,1130.40,20.18,4472.39
VD,Suscévaz,5930,Chemin du Refuge 8,1437,169.07,26500.00,3251.00,18599.20,17.425,10615.53,1247.92,11.756,9367.61
VD,Suscévaz,5930,Chemin du Refuge 10,1437,113.14,48900.00,9324.00,31660.80,10.783,29712.83,2535.61,8.534,27177.21
VD,Suscévaz,5930,Route de Treycovagnes 13,1437,85.74,43000.00,7664.00,28268.80,12.171,23799.86,1976.29,8.304,21823.57
VD,Yvonand,5939,Niédens-Dessus 7,1462,48.79,16400.00,1592.00,11846.40,24.40,4933.13,633.51,12.842,4299.62
VD,Yvonand,5939,Niédens-Dessus 3,1462,506.01,28900.00,3672.00,20182.40,17.464,11584.93,1312.51,11.329,10272.42
VD,Yvonand,5939,Niédens-Dessus 2,1462,546.20,17900.00,1840.00,12848.00,20.13,5593.69,1172.78,20.97,4420.90
VD,Yvonand,5939,Niédens-Dessus 4,1462,600.84,21800.00,2469.00,15464.80,15.746,8146.68,1879.54,23.07,6267.14
VD,Yvonand,5939,Chemin des Goilles 17,1462,36.12,55700.00,11094.00,35684.80,12.217,32192.56,1418.44,4.406,30774.13
VD,Yvonand,5939,Rue des Tapasabllias 3,1462,71.36,85300.00,16713.00,54869.60,12.219,49240.24,2295.28,4.661,46944.96
VD,Yvonand,5939,Rue de l'Ancien Stand 33,1462,84.18,25300.00,3042.00,17806.40,18.449,9762.43,1085.22,11.116,8677.21
VD,Yvonand,5939,Rue de l'Ancien Stand 39,1462,86.14,94700.00,18495.00,60964.00,11.378,56981.03,3427.45,6.015,53553.58
VD,Yvonand,5939,Rue de l'Ancien Stand 27,1462,162.07,17700.00,1795.00,12724.00,19.968,5536.95,1189.55,21.48,4347.40
VD,Yvonand,5939,Rue de l'Ancien Stand 29,1462,119.83,100700.00,19623.00,64861.60,10.679,59902.14,6020.25,10.050,53881.89
VD,Romanel-sur-Lausanne,5592,Chemin de la Source 12,1032,87.23,20200.00,2204.00,14396.80,18.980,7266.01,1061.55,14.610,6204.46
VD,Romanel-sur-Lausanne,5592,Chemin de la Source 14,1032,127.05,67000.00,13233.00,43013.60,8.351,46344.79,6794.83,14.661,39549.96
VD,Romanel-sur-Lausanne,5592,Chemin de la Source 18,1032,146.13,71900.00,14178.00,46177.60,8.795,48830.21,6241.49,12.782,42588.71
VD,Romanel-sur-Lausanne,5592,Chemin de la Source 10,1032,133.31,14700.00,1310.00,10712.00,21.28,4416.63,938.92,21.26,3477.71
VD,Romanel-sur-Lausanne,5592,Chemin de la Source 16,1032,146.13,73400.00,14451.00,47159.20,8.923,49277.70,6246.58,12.676,43031.12
VD,Romanel-sur-Lausanne,5592,Route de Lausanne 4,1032,505.12,18500.00,1930.00,13256.00,20.59,5693.23,1170.51,20.56,4522.72
VD,Romanel-sur-Lausanne,5592,Chemin des Ecureuils 10,1032,303.02,41100.00,7118.00,27185.60,11.611,24199.84,1828.59,7.556,22371.24
VD,Romanel-sur-Lausanne,5592,Chemin de Sous-Mont 1,1032,750.01,16000.00,1520.00,11584.00,22.98,4437.09,968.67,21.83,3468.42
VD,Romanel-sur-Lausanne,5592,Chemin de Rebaterel 4,1032,106.79,51500.00,10058.00,33153.60,10.949,31194.07,2372.19,7.605,28821.88
VD,Romanel-sur-Lausanne,5592,Chemin du Dîmoz 8,1032,101.96,27500.00,3409.00,19272.80,16.563,11638.41,1290.68,11.090,10347.73
VD,Chavornay,5749,En Baudette 5,1374,129.66,75400.00,14838.00,48449.60,10.664,40522.55,6615.76,16.326,33906.79
