canton,municipality,bfs_code,address,plz,egid
ZH,Stadel,100,Raaterstrasse 7,8175,1603298
ZH,Dürnten,113,Schönbühlstrasse 5,8635,40308
ZH,Dürnten,113,Oberdürntnerstrasse 7,8635,40366
ZH,Dürnten,113,Kalchofenstrasse 23,8635,40333
ZH,Dürnten,113,Kalchofenstrasse 25,8635,40332
ZH,Dürnten,113,Kalchofenstrasse 14,8635,40349
ZH,Dürnten,113,Kalchofenstrasse 11,8635,40337
ZH,Dürnten,113,Oberdürntnerstrasse 5b,8635,3017945
ZH,Dürnten,113,Kalchofenstrasse 27,8635,3018015
ZH,Dürnten,113,Kalchofenstrasse 4,8635,40354
ZH,Dürnten,113,Kalchofenstrasse 6,8635,40353
ZH,Gossau (ZH),115,Hinwilerstrasse 207,8626,41633
ZH,Gossau (ZH),115,Hinwilerstrasse 211,8626,3134793
ZH,Gossau (ZH),115,Hinwilerstrasse 205,8626,201025271
ZH,Gossau (ZH),115,Hinwilerstrasse 209,8626,2278039
ZH,Gossau (ZH),115,Leerütistrasse 50,8625,41875
ZH,Gossau (ZH),115,Tägernaustrasse 72,8625,41861
ZH,Gossau (ZH),115,Tägernaustrasse 70,8625,41860
ZH,Gossau (ZH),115,Tägernaustrasse 80,8625,41864
ZH,Gossau (ZH),115,Tägernaustrasse 82,8625,201024955
ZH,Gossau (ZH),115,Tägernaustrasse 74,8625,201025220
ZH,Weiach,102,Oberdorfstrasse 43,8187,3017715
ZH,Weiach,102,Leestrasse 7,8187,2274617
ZH,Weiach,102,Steinbruchstrasse 12,8187,3034064
ZH,Weiach,102,Leestrasse 9,8187,2274603
ZH,Weiach,102,Bergstrasse 36,8187,37701
ZH,Weiach,102,Leestrasse 5,8187,3017704
ZH,Weiach,102,Leestrasse 1,8187,2274623
ZH,Weiach,102,Steinbruchstrasse 21,8187,37669
ZH,Weiach,102,Leestrasse 3,8187,11513773
ZH,Weiach,102,Steinbruchstrasse 8b,8187,3034058
ZH,Buchs (ZH),83,Bahnhofstrasse 5,8107,29189
ZH,Buchs (ZH),83,Oberdorfstrasse 6,8107,29164
ZH,Buchs (ZH),83,Unterdorfstrasse 4,8107,29169
ZH,Buchs (ZH),83,Mühlestrasse 2a,8107,201005069
ZH,Buchs (ZH),83,Oberdorfstrasse 12,8107,210083215
ZH,Buchs (ZH),83,Oberdorfstrasse 15,8107,29153
ZH,Buchs (ZH),83,Unterdorfstrasse 2,8107,29166
ZH,Buchs (ZH),83,Oberdorfstrasse 2,8107,29159
ZH,Buchs (ZH),83,Oberdorfstrasse 4,8107,29163
ZH,Buchs (ZH),83,Mühlestrasse 2c,8107,201005071
ZH,Hinwil,117,Bodenacherstrasse 10,8340,44927
ZH,Hinwil,117,Schaugenstrasse 9,8340,44975
ZH,Hinwil,117,Bodenacherstrasse 3,8340,44924
